game_id,start_date,home_team,away_team,neutral_site,conference_game,home_power_rating,away_power_rating,home_sp_rating,home_sp_offense,home_sp_defense,away_sp_rating,away_sp_offense,away_sp_defense,home_talent,away_talent,power_diff,sp_diff,talent_diff,home_sp_missing,away_sp_missing,home_talent_missing,away_talent_missing,predicted_margin,predicted_total,predicted_home_score,predicted_away_score,home_win_prob,vegas_spread,vegas_over_under,vegas_num_books,vegas_implied_margin,model_edge_vs_vegas,actual_home_points,actual_away_points,actual_margin,actual_total,actual_home_win,margin_error,abs_margin_error,home_score_error,away_score_error,win_correct
401858217,2026-09-12 19:30:00+00:00,Illinois,Duke,0,0,60.0,60.0,7.5,31.3,24.2,6.6,31.3,25.1,704.01,668.47,0.0,0.9000000000000004,35.539999999999964,0,0,0,0,5.1,55.4,30.0,25.0,0.609,-5.75,51.5,2.0,5.75,-0.7,27.0,31.0,-4.0,58.0,0,9.1,9.1,3.0,-6.0,0
401856790,2026-09-12 19:30:00+00:00,Pittsburgh,UCF,0,0,60.0,60.0,10.1,33.0,23.0,5.9,26.5,20.5,675.02,672.14,0.0,4.199999999999999,2.8799999999999955,0,0,0,0,9.0,49.3,29.0,20.0,0.778,-7.0,56.5,2.0,7.0,2.0,12.0,7.0,5.0,19.0,1,4.0,4.0,17.0,13.0,1
401866419,2026-09-12 19:30:00+00:00,Toledo,Central Connecticut,0,0,-57.2,0.0,-9.4,17.9,26.9,,,,556.26,,-57.2,,,0,1,0,1,23.7,45.3,35.0,11.0,0.927,-33.5,55.5,1.0,33.5,-9.8,63.0,10.0,53.0,73.0,1,-29.3,29.3,-28.0,1.0,1
401867929,2026-09-12 19:30:00+00:00,James Madison,Wagner,0,0,50.0,0.0,-0.3,26.0,25.9,,,,588.31,,50.0,,,0,1,0,1,35.7,51.9,44.0,8.0,0.969,-45.5,54.5,1.0,45.5,-9.8,87.0,3.0,84.0,90.0,1,-48.3,48.3,-43.0,5.0,1
401862705,2026-09-12 19:45:00+00:00,North Texas,UNLV,0,0,21.0,18.0,-13.2,23.5,36.5,2.3,29.8,27.6,602.08,696.03,3.0,-15.5,-93.94999999999992,0,0,0,0,-10.7,59.7,24.0,35.0,0.181,3.25,56.75,2.0,-3.25,-7.4,44.0,6.0,38.0,50.0,1,-48.7,48.7,-20.0,29.0,0
401865252,2026-09-12 20:00:00+00:00,New Mexico,Mercyhurst,0,0,60.0,-97.0,4.4,27.4,23.6,,,,568.19,,157.0,,,0,1,0,1,35.9,52.3,44.0,8.0,0.964,-40.5,51.5,1.0,40.5,-4.6,70.0,7.0,63.0,77.0,1,-27.1,27.1,-26.0,1.0,1
401858223,2026-09-12 20:00:00+00:00,SMU,UC Davis,0,0,92.8,0.0,11.1,32.2,20.8,,,,764.5,,92.8,,,0,1,0,1,36.0,56.9,46.0,10.0,0.966,-25.5,58.5,1.0,25.5,10.5,56.0,10.0,46.0,66.0,1,-10.0,10.0,-10.0,0.0,1
401864506,2026-09-12 20:00:00+00:00,Wyoming,Northern Colorado,0,0,-97.0,0.0,-15.2,13.7,28.3,,,,528.29,,-97.0,,,0,1,0,1,23.2,46.1,35.0,11.0,0.867,-22.5,47.5,1.0,22.5,0.7,21.0,13.0,8.0,34.0,1,15.2,15.2,14.0,-2.0,1
401868326,2026-09-12 20:00:00+00:00,Troy,Alabama State,0,0,50.0,0.0,-11.4,20.6,32.2,,,,596.19,,50.0,,,0,1,0,1,22.6,48.1,35.0,13.0,0.914,,51.5,1.0,,,34.0,17.0,17.0,51.0,1,5.600000000000001,5.600000000000001,1.0,-4.0,1
401856684,2026-09-12 20:15:00+00:00,Vanderbilt,Delaware,0,0,60.0,60.0,12.1,34.0,22.5,-7.6,25.1,32.4,727.39,483.48,0.0,19.7,243.91,0,0,0,0,21.6,57.4,39.0,18.0,0.953,-21.0,54.75,2.0,21.0,0.6,35.0,26.0,9.0,61.0,1,12.600000000000001,12.600000000000001,4.0,-8.0,1
